WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,Moore Road,,44.754444,-85.414206,C,"$10,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.754444,-85.414206","https://www.google.com/maps?q&layer=c&cbll=44.754444,-85.414206",https://www.bing.com/maps?cp=44.754444~-85.414206&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.414206%2C44.754444&marker=-85.414206,44.754444,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.754444&longitude=-85.414206,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.414206,44.754444&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Sleights Valley Road,,44.659291,-85.556639,C,"$8,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.659291,-85.556639","https://www.google.com/maps?q&layer=c&cbll=44.659291,-85.556639",https://www.bing.com/maps?cp=44.659291~-85.556639&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.556639%2C44.659291&marker=-85.556639,44.659291,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.659291&longitude=-85.556639,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.556639,44.659291&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Wilson Road,,44.820252,-85.57063,C,"$12,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.820252,-85.57063","https://www.google.com/maps?q&layer=c&cbll=44.820252,-85.57063",https://www.bing.com/maps?cp=44.820252~-85.57063&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.57063%2C44.820252&marker=-85.57063,44.820252,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.820252&longitude=-85.57063,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.57063,44.820252&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Farrell Road,,44.747068,-85.383782,C,"$5,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.747068,-85.383782","https://www.google.com/maps?q&layer=c&cbll=44.747068,-85.383782",https://www.bing.com/maps?cp=44.747068~-85.383782&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.383782%2C44.747068&marker=-85.383782,44.747068,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.747068&longitude=-85.383782,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.383782,44.747068&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hursh Road,,44.743393,-85.378648,C,"$8,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.743393,-85.378648","https://www.google.com/maps?q&layer=c&cbll=44.743393,-85.378648",https://www.bing.com/maps?cp=44.743393~-85.378648&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.378648%2C44.743393&marker=-85.378648,44.743393,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.743393&longitude=-85.378648,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.378648,44.743393&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,N 4 Mile Road,,44.706533,-85.535792,C,"$6,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.706533,-85.535792","https://www.google.com/maps?q&layer=c&cbll=44.706533,-85.535792",https://www.bing.com/maps?cp=44.706533~-85.535792&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.535792%2C44.706533&marker=-85.535792,44.706533,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.706533&longitude=-85.535792,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.535792,44.706533&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Marsh Road,,44.59892,-85.484182,C,"$60,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.59892,-85.484182","https://www.google.com/maps?q&layer=c&cbll=44.59892,-85.484182",https://www.bing.com/maps?cp=44.59892~-85.484182&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.484182%2C44.59892&marker=-85.484182,44.59892,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.59892&longitude=-85.484182,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.484182,44.59892&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Pine Drive,,44.742274,-85.542526,C,"$5,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.742274,-85.542526","https://www.google.com/maps?q&layer=c&cbll=44.742274,-85.542526",https://www.bing.com/maps?cp=44.742274~-85.542526&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.542526%2C44.742274&marker=-85.542526,44.742274,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.742274&longitude=-85.542526,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.542526,44.742274&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Pierce Road,,44.598208,-85.475179,C,"$60,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.598208,-85.475179","https://www.google.com/maps?q&layer=c&cbll=44.598208,-85.475179",https://www.bing.com/maps?cp=44.598208~-85.475179&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.475179%2C44.598208&marker=-85.475179,44.598208,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.598208&longitude=-85.475179,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.475179,44.598208&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Van Pelt Road,,44.578553,-85.566631,C,"$15,000.00 - Culvert - Work Complete",,"https://www.google.com/maps?q=44.578553,-85.566631","https://www.google.com/maps?q&layer=c&cbll=44.578553,-85.566631",https://www.bing.com/maps?cp=44.578553~-85.566631&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.566631%2C44.578553&marker=-85.566631,44.578553,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.578553&longitude=-85.566631,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.566631,44.578553&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hodge Road,,44.562191,-85.435811,C,"$50,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.562191,-85.435811","https://www.google.com/maps?q&layer=c&cbll=44.562191,-85.435811",https://www.bing.com/maps?cp=44.562191~-85.435811&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.435811%2C44.562191&marker=-85.435811,44.562191,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.562191&longitude=-85.435811,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.435811,44.562191&level=16",No road segment within 150 ft,Rural,,,No road segment within 150 ft - manual review,,,
,,,W Elliott Road,,44.5197,-85.666233,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.5197,-85.666233","https://www.google.com/maps?q&layer=c&cbll=44.5197,-85.666233",https://www.bing.com/maps?cp=44.5197~-85.666233&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.666233%2C44.5197&marker=-85.666233,44.5197,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.5197&longitude=-85.666233,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.666233,44.5197&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Emerson Road,,44.707913,-85.589882,C,"$10,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.707913,-85.589882","https://www.google.com/maps?q&layer=c&cbll=44.707913,-85.589882",https://www.bing.com/maps?cp=44.707913~-85.589882&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.589882%2C44.707913&marker=-85.589882,44.707913,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.707913&longitude=-85.589882,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.589882,44.707913&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Zue Road,,44.52736,-85.746911,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.52736,-85.746911","https://www.google.com/maps?q&layer=c&cbll=44.52736,-85.746911",https://www.bing.com/maps?cp=44.52736~-85.746911&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.746911%2C44.52736&marker=-85.746911,44.52736,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.52736&longitude=-85.746911,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.746911,44.52736&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Westminister Road,,44.565399,-85.546951,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.565399,-85.546951","https://www.google.com/maps?q&layer=c&cbll=44.565399,-85.546951",https://www.bing.com/maps?cp=44.565399~-85.546951&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.546951%2C44.565399&marker=-85.546951,44.565399,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.565399&longitude=-85.546951,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.546951,44.565399&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Deal Road,,44.764962,-85.363585,C,"$18,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.764962,-85.363585","https://www.google.com/maps?q&layer=c&cbll=44.764962,-85.363585",https://www.bing.com/maps?cp=44.764962~-85.363585&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.363585%2C44.764962&marker=-85.363585,44.764962,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.764962&longitude=-85.363585,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.363585,44.764962&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Windcrest Lane,,44.724365,-85.500103,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.724365,-85.500103","https://www.google.com/maps?q&layer=c&cbll=44.724365,-85.500103",https://www.bing.com/maps?cp=44.724365~-85.500103&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.500103%2C44.724365&marker=-85.500103,44.724365,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.724365&longitude=-85.500103,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.500103,44.724365&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,N 4 Mile Road,,44.699081,-85.536352,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.699081,-85.536352","https://www.google.com/maps?q&layer=c&cbll=44.699081,-85.536352",https://www.bing.com/maps?cp=44.699081~-85.536352&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.536352%2C44.699081&marker=-85.536352,44.699081,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.699081&longitude=-85.536352,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.536352,44.699081&level=16",Non-Certified Roadway | Local,Urban,"Traverse City--Garfield, MI",,"REVIEW - non-certified class, check manually",,,
,,,W Blair Townhall Road,,44.627887,-85.559916,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.627887,-85.559916","https://www.google.com/maps?q&layer=c&cbll=44.627887,-85.559916",https://www.bing.com/maps?cp=44.627887~-85.559916&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.559916%2C44.627887&marker=-85.559916,44.627887,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.627887&longitude=-85.559916,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.559916,44.627887&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Vanderlip Road,,44.722609,-85.54555,C,"$10,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.722609,-85.54555","https://www.google.com/maps?q&layer=c&cbll=44.722609,-85.54555",https://www.bing.com/maps?cp=44.722609~-85.54555&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.54555%2C44.722609&marker=-85.54555,44.722609,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.722609&longitude=-85.54555,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.54555,44.722609&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Huellmantel Lake Road,,44.730595,-85.713855,C,"$6,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.730595,-85.713855","https://www.google.com/maps?q&layer=c&cbll=44.730595,-85.713855",https://www.bing.com/maps?cp=44.730595~-85.713855&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.713855%2C44.730595&marker=-85.713855,44.730595,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.730595&longitude=-85.713855,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.713855,44.730595&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Carlisle Road,,44.711722,-85.546181,C,"$10,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.711722,-85.546181","https://www.google.com/maps?q&layer=c&cbll=44.711722,-85.546181",https://www.bing.com/maps?cp=44.711722~-85.546181&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.546181%2C44.711722&marker=-85.546181,44.711722,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.711722&longitude=-85.546181,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.546181,44.711722&level=16",Local | Non-Certified Roadway,Urban,"Traverse City--Garfield, MI",,"REVIEW - non-certified class, check manually",,,
,,,Euclid Avenue,,44.628382,-85.785745,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.628382,-85.785745","https://www.google.com/maps?q&layer=c&cbll=44.628382,-85.785745",https://www.bing.com/maps?cp=44.628382~-85.785745&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.785745%2C44.628382&marker=-85.785745,44.628382,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.628382&longitude=-85.785745,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.785745,44.628382&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Salon Road,,44.659671,-85.541797,C,"$12,000.00 - Road Surface/Shoulder - Work Incomplete",,"https://www.google.com/maps?q=44.659671,-85.541797","https://www.google.com/maps?q&layer=c&cbll=44.659671,-85.541797",https://www.bing.com/maps?cp=44.659671~-85.541797&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.541797%2C44.659671&marker=-85.541797,44.659671,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.659671&longitude=-85.541797,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.541797,44.659671&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Rasho Road,,44.686705,-85.507822,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.686705,-85.507822","https://www.google.com/maps?q&layer=c&cbll=44.686705,-85.507822",https://www.bing.com/maps?cp=44.686705~-85.507822&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.507822%2C44.686705&marker=-85.507822,44.686705,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.686705&longitude=-85.507822,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.507822,44.686705&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Brown Bridge Road,,44.656882,-85.438415,C,"$8,000.00 - Debris - Work Incomplete",,"https://www.google.com/maps?q=44.656882,-85.438415","https://www.google.com/maps?q&layer=c&cbll=44.656882,-85.438415",https://www.bing.com/maps?cp=44.656882~-85.438415&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.438415%2C44.656882&marker=-85.438415,44.656882,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.656882&longitude=-85.438415,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.438415,44.656882&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,Brown Bridge Road,,44.642094,-85.515105,C,"$4,000,000.00 - Bridge - Work Incomplete",,"https://www.google.com/maps?q=44.642094,-85.515105","https://www.google.com/maps?q&layer=c&cbll=44.642094,-85.515105",https://www.bing.com/maps?cp=44.642094~-85.515105&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.515105%2C44.642094&marker=-85.515105,44.642094,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.642094&longitude=-85.515105,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.515105,44.642094&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,E Potter Road,,44.684295,-85.527859,C,"$12,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.684295,-85.527859","https://www.google.com/maps?q&layer=c&cbll=44.684295,-85.527859",https://www.bing.com/maps?cp=44.684295~-85.527859&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.527859%2C44.684295&marker=-85.527859,44.684295,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.684295&longitude=-85.527859,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.527859,44.684295&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Carpenter Creek Road,,44.647168,-85.403451,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.647168,-85.403451","https://www.google.com/maps?q&layer=c&cbll=44.647168,-85.403451",https://www.bing.com/maps?cp=44.647168~-85.403451&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.403451%2C44.647168&marker=-85.403451,44.647168,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.647168&longitude=-85.403451,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.403451,44.647168&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Hodge Road,,44.58442,-85.43425,C,"$6,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.58442,-85.43425","https://www.google.com/maps?q&layer=c&cbll=44.58442,-85.43425",https://www.bing.com/maps?cp=44.58442~-85.43425&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.43425%2C44.58442&marker=-85.43425,44.58442,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.58442&longitude=-85.43425,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.43425,44.58442&level=16",Local | Minor Arterial,Rural,,2 113,INELIGIBLE - Rural Minor Arterial,,,
,,,Hodge Road,,44.606754,-85.434224,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.606754,-85.434224","https://www.google.com/maps?q&layer=c&cbll=44.606754,-85.434224",https://www.bing.com/maps?cp=44.606754~-85.434224&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.434224%2C44.606754&marker=-85.434224,44.606754,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.606754&longitude=-85.434224,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.434224,44.606754&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Marsh Road,,44.59885,-85.464212,C,"$8,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.59885,-85.464212","https://www.google.com/maps?q&layer=c&cbll=44.59885,-85.464212",https://www.bing.com/maps?cp=44.59885~-85.464212&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.464212%2C44.59885&marker=-85.464212,44.59885,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.59885&longitude=-85.464212,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.464212,44.59885&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Voice Road,,44.606054,-85.486228,C,"$1,000.00 - Debris - Work Incomplete",,"https://www.google.com/maps?q=44.606054,-85.486228","https://www.google.com/maps?q&layer=c&cbll=44.606054,-85.486228",https://www.bing.com/maps?cp=44.606054~-85.486228&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.486228%2C44.606054&marker=-85.486228,44.606054,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.606054&longitude=-85.486228,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.486228,44.606054&level=16",Minor Collector,Rural,,,ELIGIBLE - Rural Local,,,
,,,E Sparling Road,,44.570171,-85.508116,C,"$6,000.00 - Debris - Work Complete",,"https://www.google.com/maps?q=44.570171,-85.508116","https://www.google.com/maps?q&layer=c&cbll=44.570171,-85.508116",https://www.bing.com/maps?cp=44.570171~-85.508116&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508116%2C44.570171&marker=-85.508116,44.570171,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.570171&longitude=-85.508116,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508116,44.570171&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
