WO #,DI #,Site #,Site Name,Address,Latitude,Longitude,Category,Description,Geocode Status,Google Maps,Street View,Bing,FEMA Viewer,FIRMette Portal,MDOT NFC Map,FHWA Class,Urban/Rural,ACUB Name,Road Name,Eligibility,FIRMette Status,Map Status,AGOL Map
,,,E Arbutus Lake Road,,44.668384,-85.508279,C,"$5,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.668384,-85.508279","https://www.google.com/maps?q&layer=c&cbll=44.668384,-85.508279",https://www.bing.com/maps?cp=44.668384~-85.508279&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.508279%2C44.668384&marker=-85.508279,44.668384,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.668384&longitude=-85.508279,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.508279,44.668384&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,E Arbutus Lake Road,,44.676822,-85.510436,C,"$5,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.676822,-85.510436","https://www.google.com/maps?q&layer=c&cbll=44.676822,-85.510436",https://www.bing.com/maps?cp=44.676822~-85.510436&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.510436%2C44.676822&marker=-85.510436,44.676822,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.676822&longitude=-85.510436,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.510436,44.676822&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Bunker Hill Road,,44.760694,-85.501352,C,"$15,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.760694,-85.501352","https://www.google.com/maps?q&layer=c&cbll=44.760694,-85.501352",https://www.bing.com/maps?cp=44.760694~-85.501352&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.501352%2C44.760694&marker=-85.501352,44.760694,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.760694&longitude=-85.501352,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.501352,44.760694&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Clous Road,,44.602331,-85.588726,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.602331,-85.588726","https://www.google.com/maps?q&layer=c&cbll=44.602331,-85.588726",https://www.bing.com/maps?cp=44.602331~-85.588726&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.588726%2C44.602331&marker=-85.588726,44.602331,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.602331&longitude=-85.588726,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.588726,44.602331&level=16",No road segment within 150 ft,Rural,,,No road segment within 150 ft - manual review,,,
,,,Bunker Hill Road,,44.75854,-85.489088,C,"$8,000.00 - Scour - Work Incomplete",,"https://www.google.com/maps?q=44.75854,-85.489088","https://www.google.com/maps?q&layer=c&cbll=44.75854,-85.489088",https://www.bing.com/maps?cp=44.75854~-85.489088&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.489088%2C44.75854&marker=-85.489088,44.75854,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.75854&longitude=-85.489088,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.489088,44.75854&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Bunker Hill Road,,44.75881,-85.496319,C,"$40,000.00 - Culvert - Work Incomplete",,"https://www.google.com/maps?q=44.75881,-85.496319","https://www.google.com/maps?q&layer=c&cbll=44.75881,-85.496319",https://www.bing.com/maps?cp=44.75881~-85.496319&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.496319%2C44.75881&marker=-85.496319,44.75881,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.75881&longitude=-85.496319,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.496319,44.75881&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Smith Road,,44.700858,-85.547865,C,"$5,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.700858,-85.547865","https://www.google.com/maps?q&layer=c&cbll=44.700858,-85.547865",https://www.bing.com/maps?cp=44.700858~-85.547865&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.547865%2C44.700858&marker=-85.547865,44.700858,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.700858&longitude=-85.547865,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.547865,44.700858&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
,,,Lackey Road,,44.755013,-85.340105,C,"$15,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.755013,-85.340105","https://www.google.com/maps?q&layer=c&cbll=44.755013,-85.340105",https://www.bing.com/maps?cp=44.755013~-85.340105&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.340105%2C44.755013&marker=-85.340105,44.755013,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.755013&longitude=-85.340105,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.340105,44.755013&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Megan Lane,,44.649774,-85.61538,C,"$6,000.00 - Scour - Work Complete",,"https://www.google.com/maps?q=44.649774,-85.61538","https://www.google.com/maps?q&layer=c&cbll=44.649774,-85.61538",https://www.bing.com/maps?cp=44.649774~-85.61538&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.61538%2C44.649774&marker=-85.61538,44.649774,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.649774&longitude=-85.61538,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.61538,44.649774&level=16",Local,Rural,,,ELIGIBLE - Rural Local,,,
,,,Vance Road,,44.657467,-85.645032,C,"$8,000.00 - Road Surface/Shoulder - Work Complete",,"https://www.google.com/maps?q=44.657467,-85.645032","https://www.google.com/maps?q&layer=c&cbll=44.657467,-85.645032",https://www.bing.com/maps?cp=44.657467~-85.645032&lvl=18&style=h,"https://fema.maps.arcgis.com/apps/mapviewer/index.html?find=-85.645032%2C44.657467&marker=-85.645032,44.657467,4326&level=16",https://msc.fema.gov/portal/firmette?latitude=44.657467&longitude=-85.645032,"https://www.arcgis.com/apps/mapviewer/index.html?url=https%3A%2F%2Fmdotgis.state.mi.us%2Farcgis%2Frest%2Fservices%2FWidget%2FNextGenPrFinderPub%2FFeatureServer%2F353&center=-85.645032,44.657467&level=16",Local,Urban,"Traverse City--Garfield, MI",,ELIGIBLE - Urban Local,,,
